StreetSuffix,Abbr1,Abbr2,Abbr3,Abbr4,Abbr5,Abbr6,Abbr7
Grange,Gra,,,,,,
Green,Grn,,,,,,
Greens,Grns,,,,,,
Grounds,Grnds,,,,,,
Grove,Gr,Grv,Grov,,,,
Groves,Grvs,,,,,,
Hall,,,,,,,
Harbour,,,,,,,
Harbours,,,,,,,
Harbor,Harb,Harbr,Hrbor,Hbr,,,
Harbors,Hbrs,,,,,,
Haven,Hvn,,,,,,
Heath,,,,,,,
Heights,Hts,,,,,,
Highwalk,,,,,,,
Highway,Hwy,Hway,Hiwy,Hiway,Highwy,,
Hill,Hl,,,,,,
Hills,Hls,,,,,,
Hollow,Hllw,Holw,,,,,
Hollows,Hllws,Holws,,,,,
Île,,,,,,,
Inlet,Inlt,,,,,,
Island,Is,,,,,,
Islands,Iss,,,,,,
Isle,,,,,,,
Junction,Jctn,Junctn,Juncton,Jnc,Jct,Jction,
Junctions,Jcts,,,,,,
Key,Ky,,,,,,
Keys,Kys,,,,,,
Knoll,Knl,Knol,,,,,
Knolls,Knls,,,,,,
Lake,Lk,,,,,,
Lakes,Lks,,,,,,
Land,,,,,,,
Landing,Lndg,Lndng,,,,,
Lane,Ln,,,,,,
Lea,,,,,,,
Leas,,,,,,,
Leigh,,,,,,,
Leighs,,,,,,,
Light,Lgt,,,,,,
Lights,Lgts,,,,,,
Link,Li,,,,,,
Loaf,Lf,,,,,,
Lock,Lck,,,,,,
Locks,Lcks,,,,,,
Lodge,Ldge,Lodg,Ldg,,,,
Lookout,Lkout,,,,,,
Loop,,,,,,,
Mall,,,,,,,
Manor,Mnr,,,,,,
Manors,Mnrs,,,,,,
Maze,,,,,,,
Mead,,,,,,,
Meadow,Mdw,,,,,,
Meadows,Mdws,Medows,,,,,
Mews,Mws,,,,,,
Mill,Ml,,,,,,
Mills,Mls,,,,,,
Mission,Msn,,,,,,
Montée,,,,,,,
Moor,,,,,,,
Moors,,,,,,,
Motorway,Mtwy,,,,,,
Mount,Mt,,,,,,
Mountain,Mtn,,,,,,
Mountains,Mtns,,,,,,
Neck,Nck,,,,,,
Oaks,,,,,,,
Orchard,Orchrd,Orch,,,,,
Oval,Ovl,,,,,,
Overpass,Opas,,,,,,
Parade,Pde,,,,,,
Parc,,,,,,,
Park,Prk,Pk,,,,,
Parks,Prks,Pks,,,,,
Parkway,Parkwy,Pkway,Pky,Pkwy,,,
Parkways,Pkwys,,,,,,
Pass,,,,,,,
Passage,Psge,,,,,,
Path,,,,,,,
Pike,,,,,,,
Pine,Pne,,,,,,
Pines,Pnes,,,,,,
Place,Pl,,,,,,
Plain,Pln,,,,,,
Plains,Plns,,,,,,
Plateau,Plat,,,,,,
Plaza,Plza,Plz,,,,,
Pointe,,,,,,,
Point,Pt,,,,,,
Points,Pts,,,,,,
Port,Prt,,,,,,
Ports,Prts,,,,,,
Prairie,Prr,Pr,,,,,
Promenade,Prom,,,,,,
Quadrant,,,,,,,
Quai,,,,,,,
Quay,,,,,,,
Quays,Qys,,,,,,
Radial,Rad,Radl,Radiel,,,,
Ramp,,,,,,,
Ranch,Rnch,Rnchs,,,,,
Range,Rg,,,,,,
Rapid,Rpd,,,,,,
Rapids,Rpds,,,,,,
Rest,Rst,,,,,,
Retreat,Rtt,,,,,,
Ridge,Rdg,Rdge,,,,,
Ridges,Rdgs,,,,,,
Rise,,,,,,,
Rising,,,,,,,
River,Riv,Rivr,Rvr,,,,
Road,Rd,,,,,,
Roads,Rds,,,,,,
Rond-Point,Rdpt,,,,,,
Route,Rte,,,,,,
Row,,,,,,,
Rue,,,,,,,
Ruelle,Rle,,,,,,
Run,,,,,,,
Shoal,Shl,,,,,,
Shoals,Shls,,,,,,
Shore,Shr,,,,,,
Shores,Shrs,,,,,,
Side,,,,,,,
Skyway,Skwy,,,,,,
Spring,Spng,Sprng,Spg,,,,
Springs,Spgs,,,,,,
Spur,,,,,,,
Square,Sqr,Sq,Squ,Sqre,,,
Squares,Sqs,,,,,,
Station,Stn,Sta,Statn,,,,
Steps,Stps,,,,,,
Stravenue,Strav,Straven,Stravn,Strvn,Strvnue,Stra,
Stream,Strm,Streme,,,,,
Street,St,Str,Strt,,,,
Streets,Sts,,,,,,
Stroll,,,,,,,
Subdivision,Subdiv,,,,,,
Subway,Sbwy,,,,,,
Summit,Sumit,Sumitt,Smt,,,,
Terrace,Tce,Ter,Terr,,,,
Terrasse,Tsse,,,,,,
Thicket,Thick,,,,,,
Throughway,Trwy,,,,,,
Towers,,,,,,,
Trace,Trce,,,,,,
Track,Trac,Trk,,,,,
Trafficway,Trfy,,,,,,
Trail,Trl,Tr,,,,,
Trailer,Trlr,,,,,,
Tunnel,Tun,Tunl,,,,,
Turnpike,Trnpk,Tpke,Turnpk,,,,
Underpass,Upas,,,,,,
Union,Un,,,,,,
Unions,Uns,,,,,,
Vale,,,,,,,
Valley,Vally,Vly,Vlly,,,,
Valley,Vlys,,,,,,
Vennel,,,,,,,
Viaduct,Vdct,Viadct,Via,,,,
View,Vw,,,,,,
Views,Vws,,,,,,
Village,Villag,Vill,Villg,Vlg,,,
Villages,Vlgs,,,,,,
Ville,Vl,,,,,,
Vista,Vist,Vis,Vsta,Vst,,,
Voie,,,,,,,
Walk,,,,,,,
Wall,,,,,,,
Way,Wy,,,,,,
Well,Wl,,,,,,
Wells,Wls,,,,,,
Wharf,,,,,,,
Wold,,,,,,,
Wolds,,,,,,,
Wood,Wd,,,,,,
Woods,Wds,,,,,,
Wynd,,,,,,,
Yard,Yd,,,,,,
Yards,Yds,,,,,,
